INDIVIDUAL JOBIM, Elizabeth J62e  1998 Coleção Bibliográfica 
INDIVIDUAL CAMPOS, Marcelo C198e  2010 Coleção Bibliográfica 
INDIVIDUAL NASSAR, Emmanuel N265e  1996 Coleção Bibliográfica 
COLETIVO Stedelijk Museum S812e  2004 Coleção Bibliográfica 
INDIVIDUAL JACOMINO, Bruno J16e  2010 Coleção Bibliográfica 
INDIVIDUAL BERNARDI, Heleno B523e  2010 Coleção Bibliográfica 
COLETIVO Aliança Francesa de Rio de Janeiro A398e  Coleção Bibliográfica 
COLETIVO Escola de Artes Visuais do Parque Lage E74e  2011 Coleção Bibliográfica 
730(81) F941e  1999 Coleção Bibliográfica 
COLETIVO Banco nacional de Desenvolvimento Econômico e Social - BNDES B213e  2004 Coleção Bibliográfica 
INDIVIDUAL  GERCHMAN, Rubens G365e  200? Coleção Bibliográfica
INDIVIDUAL TEIXEIRA, Ligia T266e  1998 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Nordeste Fortaleza C397e  2011 Coleção Bibliográfica 
INDIVIDUAL RICALDE, Rosana R487p  2009 Coleção Bibliográfica 
COLETIVO Centro Universitário Maria Antônia da USP C397e  2010 Coleção Bibliográfica 
COLETIVO Centro Universitário da USP C397e  2007 Coleção Bibliográfica 
COLETIVO Centro Universitário Maria Antônia da USP C397e  2010 Coleção Bibliográfica 
COLETIVO Centro Universitário Maria Antônia da USP C397e  2007 Coleção Bibliográfica 
INDIVIDUAL MIGUEZ, Fábio Marques M634f  2004 Coleção Bibliográfica 
COLETIVO  Serviço Social do Comércio. SESC F284f  2010 Coleção Bibliográfica
INDIVIDUAL CID, Bernardo C568f  2011 Coleção Bibliográfica 
COLETIVO Osgemeos O82f  2011 Coleção Bibliográfica 
INDIVIDUAL VELLOSO, Fernando M. V441p  1990 Coleção Bibliográfica 
COLETIVO Galeries nationales du Grand Palais G154f  2008 Coleção Bibliográfica
COLETIVO Festival Internacional de Linguagem Eletrônica F418f  2012 Coleção Bibliográfica 
COLETIVO Gabinete de Arte Raquel Arnaud G113f  1998 Coleção Bibliográfica 
Centro Cultural Banco do Brasil
INDIVIDUAL KRAJCBERG, Frans K89f  2011 Coleção Bibliográfica 
INDIVIDUAL  WEISSMANN, Franz W43f  2009 Coleção Bibliográfica 
INDIVIDUAL BARANEK, Frida B225f  1993 Coleção Bibliográfica 
INDIVIDUAL GALENO G153p  1996 Coleção Bibliográfica 
COLETIVO 7(81) I59g  1988 Coleção Bibliográfica 
COLETIVO Museu de Arte Moderna do Rio de Janeiro M986g  2010 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Brasil C397g  2002 Coleção Bibliográfica 
COLETIVO Centro Municipal de Arte Hélio Oiticica C397g  2011
COLETIVO Centro Cultural Telemar C397g  2006 Coleção Bibliográfica 
COLETIVO Oi Futuro O39g  2011 Coleção Bibliográfica
COLETIVO Caixa Cultural C138g  2012 Coleção Bibliográfica
INDIVIDUAL  VASARI, Giorgio V328g  2012 Coleção Bibliográfica
INDIVIDUAL UMBERG, Günter U48g  2009 Coleção Bibliográfica 
INDIVIDUAL NAZARENO N335n  2001 Coleção Bibliográfica
INDIVIDUAL RIBEIRO, Liliana R484h  2002 Coleção Bibliográfica 
INDIVIDUAL FEDERLE, Helmut F293h  2001 Coleção Bibliográfica 
INDIVIDUAL MOORE, Henry M821h  2005 Coleção Bibliográfica
